Num Episodes,Exploration Probability,Learning Rate,Discount Factor,Percentage Win Agent,Percentage Win Enemy
5000,0.1,0.3,0.3,67.26,32.74
5000,0.1,0.3,0.5,64.58,35.42
5000,0.1,0.3,0.7,62.76,37.24
5000,0.1,0.3,0.9,63.82,36.18
5000,0.1,0.4,0.3,67.26,32.74
5000,0.1,0.4,0.5,63.54,36.46
5000,0.1,0.4,0.7,62.6,37.4
5000,0.1,0.4,0.9,63.9,36.1
5000,0.1,0.5,0.3,65.62,34.38
5000,0.1,0.5,0.5,62.44,37.56
5000,0.1,0.5,0.7,62.24,37.76
5000,0.1,0.5,0.9,63.3,36.7
5000,0.2,0.3,0.3,67.14,32.86
5000,0.2,0.3,0.5,63.96,36.04
5000,0.2,0.3,0.7,62.76,37.24
5000,0.2,0.3,0.9,62.18,37.82
5000,0.2,0.4,0.3,64.3,35.7
5000,0.2,0.4,0.5,63.0,37.0
5000,0.2,0.4,0.7,61.48,38.52
5000,0.2,0.4,0.9,62.2,37.8
5000,0.2,0.5,0.3,64.58,35.42
5000,0.2,0.5,0.5,63.0,37.0
5000,0.2,0.5,0.7,61.44,38.56
5000,0.2,0.5,0.9,61.2,38.8
5000,0.3,0.3,0.3,65.62,34.38
5000,0.3,0.3,0.5,63.42,36.58
5000,0.3,0.3,0.7,62.26,37.74
5000,0.3,0.3,0.9,61.26,38.74
5000,0.3,0.4,0.3,63.06,36.94
5000,0.3,0.4,0.5,63.62,36.38
5000,0.3,0.4,0.7,61.48,38.52
5000,0.3,0.4,0.9,62.84,37.16
5000,0.3,0.5,0.3,62.04,37.96
5000,0.3,0.5,0.5,62.26,37.74
5000,0.3,0.5,0.7,63.02,36.98
5000,0.3,0.5,0.9,62.64,37.36
