Num Episodes,Exploration Probability,Learning Rate,Discount Factor,Percentage Win Agent,Percentage Win Enemy
5000,0.1,0.3,0.3,54.2,45.8
5000,0.1,0.3,0.5,54.12,45.88
5000,0.1,0.3,0.7,56.56,43.44
5000,0.1,0.3,0.9,56.88,43.12
5000,0.1,0.4,0.3,55.18,44.82
5000,0.1,0.4,0.5,54.64,45.36
5000,0.1,0.4,0.7,56.8,43.2
5000,0.1,0.4,0.9,56.32,43.68
5000,0.1,0.5,0.3,55.08,44.92
5000,0.1,0.5,0.5,55.5,44.5
5000,0.1,0.5,0.7,55.72,44.28
5000,0.1,0.5,0.9,56.08,43.92
5000,0.2,0.3,0.3,56.04,43.96
5000,0.2,0.3,0.5,55.68,44.32
5000,0.2,0.3,0.7,58.24,41.76
5000,0.2,0.3,0.9,56.78,43.22
5000,0.2,0.4,0.3,55.02,44.98
5000,0.2,0.4,0.5,56.7,43.3
5000,0.2,0.4,0.7,57.12,42.88
5000,0.2,0.4,0.9,56.3,43.7
5000,0.2,0.5,0.3,54.72,45.28
5000,0.2,0.5,0.5,54.62,45.38
5000,0.2,0.5,0.7,56.24,43.76
5000,0.2,0.5,0.9,56.16,43.84
5000,0.3,0.3,0.3,55.88,44.12
5000,0.3,0.3,0.5,56.86,43.14
5000,0.3,0.3,0.7,56.66,43.34
5000,0.3,0.3,0.9,56.9,43.1
5000,0.3,0.4,0.3,54.66,45.34
5000,0.3,0.4,0.5,56.24,43.76
5000,0.3,0.4,0.7,57.46,42.54
5000,0.3,0.4,0.9,57.14,42.86
5000,0.3,0.5,0.3,55.82,44.18
5000,0.3,0.5,0.5,55.6,44.4
5000,0.3,0.5,0.7,56.74,43.26
5000,0.3,0.5,0.9,55.52,44.48
