12-28 21:43:14: Training starting...
12-28 21:43:14: New best reward -153.0 (-98.5%) at episode 0, saving model...
12-28 21:43:14: New best reward 15.0 (-109.8%) at episode 1, saving model...
12-28 21:43:14: New best reward 230.0 (+1433.3%) at episode 2, saving model...
12-28 21:43:14: New best reward 287.0 (+24.8%) at episode 13, saving model...
12-28 21:43:14: New best reward 320.0 (+11.5%) at episode 23, saving model...
12-28 21:43:15: New best reward 410.0 (+28.1%) at episode 49, saving model...
12-28 21:43:17: New best reward 440.0 (+7.3%) at episode 104, saving model...
12-28 21:43:19: New best reward 550.0 (+25.0%) at episode 170, saving model...
12-28 21:43:22: New best reward 570.0 (+3.6%) at episode 265, saving model...
12-28 21:43:26: New best reward 680.0 (+19.3%) at episode 400, saving model...
12-28 21:43:27: New best reward 830.0 (+22.1%) at episode 451, saving model...
12-28 21:43:29: New best reward 927.0 (+11.7%) at episode 501, saving model...
12-28 21:44:14: New best reward 954.0 (+2.9%) at episode 1956, saving model...
